-- ============================================================
-- Output from 05_source_breakdown.sql
-- Purpose:
--   Export funnel outcomes by lead Source (channel):
--   total_leads, won/lost/open counts, and win/loss rates
--   for Tableau visualization and channel performance insights.
--
-- The following SQLite CLI commands were run in the terminal
-- to export the aggregated table to CSV:
--
--   .mode csv
--   .headers on
--   .output tableau/source_outcome_breakdown.csv
--   SELECT * FROM source_outcome_breakdown;
--   .output stdout


-- Resulting output:
-- ============================================================

source,total_leads,won_leads,lost_leads,open_leads,won_rate,lost_rate
"Retargeting Ads",531,51,106,374,0.096,0.1996
Referral,530,49,123,358,0.0925,0.2321
"Google Ads",529,53,102,374,0.1002,0.1928
"Cold Call",520,59,104,357,0.1135,0.2
Chatbot,516,60,99,357,0.1163,0.1919
"Cold Email",513,64,83,366,0.1248,0.1618
"Content Marketing",508,55,103,350,0.1083,0.2028
"LinkedIn Outreach",506,54,96,356,0.1067,0.1897
"Direct Traffic",506,47,85,374,0.0929,0.168
"Organic Search (SEO)",505,63,107,335,0.1248,0.2119
Other,504,40,95,369,0.0794,0.1885
Webinars,498,59,109,330,0.1185,0.2189
Podcast,490,54,99,337,0.1102,0.202
"Networking Event",489,47,100,342,0.0961,0.2045
"Social Media",483,36,91,356,0.0745,0.1884
"Facebook Ads",479,42,94,343,0.0877,0.1962
"Website Form",475,41,96,338,0.0863,0.2021
"Purchased List",475,51,80,344,0.1074,0.1684
"Partner Program",473,56,89,328,0.1184,0.1882
"Trade Show",470,57,95,318,0.1213,0.2021
